State,percAllPets,percDogOwners,percCatOwners
AL,59.8,46.9,26.1
AK,No Data,No Data,No Data
AZ,58,43,26.4
AR,69,51.6,34.8
CA,40.1,0,22.9
CO,47.2,27.1,0
CT,50,24,26.7
DE,57.9,42.2,24.1
D.C.,56,39.8,24.2
FL,51,36.7,20.4
GA,No Data,No Data,No Data
HI,70,33.3,34.4
ID,48.6,32.4,21
IL,69.2,49.4,37.5
IN,59,36.3,35.6
IA,62.8,43.1,32.4
KS,64.1,46.5,32.2
KY,54,38.3,19
LA,63.5,35.9,43.6
ME,48.6,30.2,18.6
MD,49,28.9,23.5
MA,62.4,41.9,31.2
MI,54,35.5,26.5
MN,65.5,51,29.1
MS,63.5,45.1,0
MO,62,51.9,22.8
MT,51.3,47.1,30.9
NE,53,36.8,23.1
NV,52,23.7,36.4
NH,47.4,29.1,18.9
NJ,60,39.4,25.2
NM,50,27,21.1
NY,59,41.3,26.5
NC,63.7,44.3,24.8
ND,62.4,37.9,30.7
OH,65,47.7,28.4
OK,59.2,37.8,30
OR,60.6,38.9,28.9
PA,45.4,25.8,16.7
RI,62,45.3,25.2
SC,46,32.1,26.6
SD,61.7,47,30.9
TN,58.2,43.4,20.5
TX,58.5,36.2,24.7
UT,70,28.3,44.6
VT,55.5,35.6,23.9
VA,63,42.8,30.5
WA,71,49.6,37.7
WV,59,33.6,32.4
WI,71.8,36,30
WY,71.8,36,30
